application_id,processing_hours,loan_type,officer_experience_years,document_completeness
APP001,44,Mortgage,12,Complete
APP002,52,Mortgage,5,Partial
APP003,38,Auto,15,Complete
APP004,58,Personal,2,Incomplete
APP005,46,Mortgage,8,Complete
APP006,50,Small_Business,3,Partial
APP007,42,Auto,18,Complete
APP008,55,Personal,1,Incomplete
APP009,40,Mortgage,10,Complete
APP010,48,Auto,7,Complete
APP011,62,Small_Business,2,Partial
APP012,35,Auto,20,Complete
APP013,53,Mortgage,6,Complete
APP014,45,Personal,9,Partial
APP015,70,Mortgage,1,Incomplete
APP016,47,Auto,14,Complete
APP017,51,Small_Business,4,Partial
APP018,39,Auto,16,Complete
APP019,57,Personal,3,Incomplete
APP020,43,Mortgage,11,Complete
APP021,49,Auto,8,Complete
APP022,56,Small_Business,2,Partial
APP023,41,Mortgage,13,Complete
APP024,54,Personal,5,Incomplete
APP025,74,Mortgage,1,Incomplete
APP026,46,Auto,10,Complete
APP027,50,Small_Business,7,Partial
APP028,37,Auto,17,Complete
APP029,59,Personal,2,Incomplete
APP030,44,Mortgage,9,Complete
APP031,48,Auto,12,Complete
APP032,63,Small_Business,3,Partial
APP033,42,Mortgage,15,Complete
APP034,52,Personal,4,Partial
APP035,45,Auto,8,Complete
APP036,78,Mortgage,1,Incomplete
APP037,47,Auto,11,Complete
APP038,53,Small_Business,6,Partial
APP039,36,Auto,19,Complete
APP040,58,Personal,2,Incomplete
APP041,43,Mortgage,10,Complete
APP042,49,Auto,14,Complete
APP043,55,Small_Business,3,Partial
APP044,41,Mortgage,12,Complete
APP045,51,Personal,5,Incomplete
APP046,46,Auto,9,Complete
APP047,60,Small_Business,2,Partial
APP048,38,Auto,16,Complete
APP049,54,Personal,3,Incomplete
APP050,44,Mortgage,11,Complete
APP051,50,Auto,7,Complete
APP052,57,Small_Business,4,Partial
APP053,40,Mortgage,14,Complete
APP054,48,Personal,6,Complete
APP055,43,Auto,13,Complete
APP056,64,Small_Business,1,Incomplete
APP057,45,Mortgage,10,Complete
APP058,52,Auto,8,Complete
APP059,39,Auto,18,Complete
APP060,56,Personal,3,Partial
APP061,47,Mortgage,9,Complete
APP062,49,Auto,15,Complete
APP063,61,Small_Business,2,Partial
APP064,42,Mortgage,12,Complete
APP065,53,Personal,4,Incomplete
APP066,44,Auto,11,Complete
APP067,50,Small_Business,6,Partial
APP068,37,Auto,17,Complete
APP069,55,Personal,3,Incomplete
APP070,46,Mortgage,10,Complete
APP071,48,Auto,13,Complete
APP072,58,Small_Business,2,Partial
APP073,41,Mortgage,14,Complete
APP074,51,Personal,5,Incomplete
APP075,45,Auto,9,Complete
APP076,62,Small_Business,1,Incomplete
APP077,43,Mortgage,11,Complete
APP078,49,Auto,16,Complete
APP079,38,Auto,19,Complete
APP080,54,Personal,4,Partial
